STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,OBS_STATUS_4,Observation status 4,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVERSION_TYPE,Conversion type,BASE_PER,Base period,PRICE_BASE,Price base
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2016,,563.9027,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,1996,,516.3955,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,1995,,437.3275,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,1994,,428.4211,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,1993,,422.6101,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,1992,,405.0654,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,1991,,403.1004,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,1990,,417.3043,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,1989,,413.4094,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2015,,560.402,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2014,,565.6061,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2013,,578.6324,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2012,,579.53,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2011,,573.0322,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2010,,562.2247,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2009,,589.9431,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2008,,600.4777,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2007,,596.864,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2006,,596.5809,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2005,,575.2632,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2004,,573.6868,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2003,,607.5204,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2002,,608.0087,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2001,,576.2039,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2000,,579.9116,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,1999,,562.5398,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,1998,,531.5422,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,1997,,532.2513,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2021,,835.1387,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2020,,834.113,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2019,,588.0259,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2018,,579.2227,,A,Normal value,,,,,,,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ESP,Spain,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2022,,22290.4663,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ESP,Spain,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2002,,26404,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ESP,Spain,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2001,,26616,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ESP,Spain,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2000,,26505,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ESP,Spain,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,1999,,24470,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ESP,Spain,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,1998,,22423,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ESP,Spain,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,1997,,22174.4,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ESP,Spain,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,1996,,21125.2,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ESP,Spain,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,1995,,20076,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ESP,Spain,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2021,,22136.572,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ESP,Spain,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2020,,21276.2885,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ESP,Spain,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2019,,22261.6898,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ESP,Spain,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2018,,22229.33,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ESP,Spain,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2017,,22017.9,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ESP,Spain,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2016,,21541.8,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ESP,Spain,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2015,,21157.8,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ESP,Spain,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2014,,20836.4,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ESP,Spain,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2013,,21184.2,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ESP,Spain,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2012,,21896.34,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ESP,Spain,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2011,,22672.41,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ESP,Spain,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2010,,23774.42,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ESP,Spain,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2009,,25107.98,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ESP,Spain,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2008,,25316.94,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ESP,Spain,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2007,,26153.99,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ESP,Spain,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2006,,26209.19,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ESP,Spain,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2005,,25683,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ESP,Spain,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2004,,25746,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,EU27_2020,European Union (27 countries from 01/02/2020),A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2003,,217022,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,EU27_2020,European Union (27 countries from 01/02/2020),A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2002,,221585,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,EU27_2020,European Union (27 countries from 01/02/2020),A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2001,,218816,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,EU27_2020,European Union (27 countries from 01/02/2020),A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2000,,220073,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,EU27_2020,European Union (27 countries from 01/02/2020),A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,1999,,214100,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,EU27_2020,European Union (27 countries from 01/02/2020),A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,1998,,208514,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,EU27_2020,European Union (27 countries from 01/02/2020),A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,1997,,209147,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,EU27_2020,European Union (27 countries from 01/02/2020),A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,1996,,203193,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,EU27_2020,European Union (27 countries from 01/02/2020),A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,1995,,197988,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,EU27_2020,European Union (27 countries from 01/02/2020),A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2021,,236801,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,EU27_2020,European Union (27 countries from 01/02/2020),A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2020,,233206,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,EU27_2020,European Union (27 countries from 01/02/2020),A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2019,,225336,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,EU27_2020,European Union (27 countries from 01/02/2020),A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2018,,223105,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,EU27_2020,European Union (27 countries from 01/02/2020),A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2017,,222497,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,EU27_2020,European Union (27 countries from 01/02/2020),A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2016,,219562,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,EU27_2020,European Union (27 countries from 01/02/2020),A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2015,,213409,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,EU27_2020,European Union (27 countries from 01/02/2020),A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2014,,211861,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,EU27_2020,European Union (27 countries from 01/02/2020),A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2013,,211487,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,EU27_2020,European Union (27 countries from 01/02/2020),A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2012,,214974,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,EU27_2020,European Union (27 countries from 01/02/2020),A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2011,,219839,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,EU27_2020,European Union (27 countries from 01/02/2020),A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2010,,222009,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,EU27_2020,European Union (27 countries from 01/02/2020),A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2009,,224543,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,EU27_2020,European Union (27 countries from 01/02/2020),A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2008,,227480,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,EU27_2020,European Union (27 countries from 01/02/2020),A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2007,,226623,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,EU27_2020,European Union (27 countries from 01/02/2020),A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2006,,223929,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,EU27_2020,European Union (27 countries from 01/02/2020),A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2005,,220275,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,HRV,Croatia,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2010,,1629.92,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,HRV,Croatia,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2009,,1743.21,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,HRV,Croatia,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2008,,1788.31,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,HRV,Croatia,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2007,,1718.7,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,HRV,Croatia,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2006,,1654.11,,A,Normal value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,HRV,Croatia,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2005,,1449.38,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,HRV,Croatia,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2004,,1310.64,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,HRV,Croatia,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2000,,1172.53,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,HRV,Croatia,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,1997,,1015,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
